code,name,date,close,open,high,low,volume
005930,삼성전자,07.16,79700,80100,80100,79500,4550366
005930,삼성전자,07.15,80600,79800,80600,79500,13766279
005930,삼성전자,07.14,79500,79400,79600,79100,11575636
005930,삼성전자,07.13,79800,80000,80200,79800,9863450
005930,삼성전자,07.12,79700,79900,80000,79500,9768108
005930,삼성전자,07.09,79400,79600,79800,79000,22720577
005930,삼성전자,07.08,79900,81100,81200,79900,16660998
005930,삼성전자,07.07,80800,81200,81300,80300,15992202
005930,삼성전자,07.06,81200,80600,81200,80500,12131651
005930,삼성전자,07.05,80400,80100,80800,80000,8330969
005930,삼성전자,07.02,80000,80000,80400,79900,8753097
005930,삼성전자,07.01,80100,80500,80600,80000,13382882
005930,삼성전자,06.30,80700,81100,81400,80700,13288643
005930,삼성전자,06.29,81000,81900,82100,80800,15744317
005930,삼성전자,06.28,81900,81700,82000,81600,11578529
005930,삼성전자,06.25,81600,81500,81900,81200,13481405
005930,삼성전자,06.24,81200,80400,81400,80100,18771080
005930,삼성전자,06.23,80100,80500,80600,79900,13856548
005930,삼성전자,06.22,80000,80200,80300,79900,11773365
005930,삼성전자,06.21,79900,79700,80000,79600,16063340
005930,삼성전자,06.18,80500,81100,81100,80500,14916721
005930,삼성전자,06.17,80900,81100,81300,80700,14007385
005930,삼성전자,06.16,81800,81500,81900,81100,14999855
005930,삼성전자,06.15,80900,80900,81200,80600,10075685
005930,삼성전자,06.14,80500,80800,80900,80500,10550078
005930,삼성전자,06.11,81000,81200,81700,80700,14087962
005930,삼성전자,06.10,81000,81300,81400,80900,17586995
005930,삼성전자,06.09,81100,81500,82000,81100,14908823
005930,삼성전자,06.08,81900,82300,82600,81800,12781226
005930,삼성전자,06.07,81900,82700,82800,81600,16496197
005930,삼성전자,06.04,82200,82700,82700,81500,18112259
005930,삼성전자,06.03,82800,81300,83000,81100,29546007
005930,삼성전자,06.02,80800,80400,81400,80300,16414644
005930,삼성전자,06.01,80600,80500,81300,80100,14058401
005930,삼성전자,05.31,80500,80300,80600,79600,13321324
005930,삼성전자,05.28,80100,79800,80400,79400,12360199
005930,삼성전자,05.27,79600,80000,80000,79100,23198510
